מספר חשבון,מספר נייר,שם עברי קצר,שווי נטו
,5125151,חשבון פיקטיבי מחקה תלבונד-גלובל,19264117
,5125208,חשבון פיקטיבי תיק השקעות 50/50,13872715
,5127165,חשבון פיקטיבי מחקה SO USINTERNET,51227206
,1142556,חשבון פיקטיבי טכ עילית,540024469
,5127222,"חשבון פיקטיבי אג""ח+ %15",57186453
,5127503,חשבון פיקטיבי מחקה SO NACANABSמד,4443767
,5127511,חשבון פיקטיבי D.A. MODEL 4D,3945742
,5127751,חשבון פיקטיבי מחקה SO NA CANABIS,2505854
,5127883,חשבון פיקטיבי מחקה SOL FINTECH,9127546
,5128016,"חשבון פיקטיבי אג""ח $ ריבית משת +",112805981
,5127967,חשבון פיקטיבי עד 3 שנים 10/90,28202539
,5128452,חשבון פיקטיבי תיק קונצרני,403308389
,5128460,חשבון פיקטיבי מחקה NASDAQAIRLINE,48605354
,5128683,חשבון פיקטיבי עד 3 שנים 30/70,30087921
,5129062,חשבון פיקטיבי קנאביס עולמי ישראל,1812304
,5129069,חשבון פיקטיבי זיקה קנאביס ישראל,831912
,5129327,חשבון פיקטיבי מחקה מש מנ ארהב,167630117
,5129525,חשבון פיקטיבי מחקה SOL ELECTRPAY,21251525
,5130317,חשבון פיקטיבי מחקה BSTARSECUR,4995161
,5130085,חשבון פיקטיבי אסטרטגיות ממונפת,79306175
,5130283,חשבון פיקטיבי 20/90 - אסטרטגיות,162658939
,5132000,חשבון פיקטיבי גמישה,11725708
,5132157,חשבון פיקטיבי מחקה מש טכנל על חד,21722070
,5132511,חשבון פיקטיבי מחקה BSTARGREENTEC,34058593
,5132727,חשבון פיקטיבי מחקה אנדק רכ חש גל,20639681
,5132784,חשבון פיקטיבי מחקה אנדקס חבצרכסן,4240980
,5135902,חשבון פיקטיבי מחקה אדקס אשחצ שפס,13246380
,5133155,חשבון פיקטיביצמוד 20/90 - אסטרטג,74469432
,5124302,חשבון פיקטיבי מחקה RUSSELL 2000,22901870
,5133551,חשבון פיקטיבי מחקה פננס יש אזןענ,48578115
,5133675,חשבון פיקטיבי מחקה מוליכ גל EWמד,63892044
,5134062,חשבון פיקטיבי מחקה גלבל פודטק מד,10216603
,5134218,חשבון פיקטיבי מחקה מש מניותיש חד,17103071
