חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,5125151,חשבון פיקטיבי בונד גלובל,0,שווי נטו,,0,0,0,19264117.78
,5125151,חשבון פיקטיבי בונד גלובל,0,יצירות פדיונות,,0,0,0,0
,5125151,חשבון פיקטיבי בונד גלובל,0,הכנסות/הוצאות,,0,0,0,-299.3
,5125151,חשבון פיקטיבי בונד גלובל,0,"עו""ש בש""ח",,0,0,0,-371533.77
,5125151,חשבון פיקטיבי בונד גלובל,0,"עו""ש עתידי בש""ח",,0,0,0,-1915.97
,5125151,חשבון פיקטיבי בונד גלובל,1133891,לייטסטון  אגח א,"ש""ח",285278.81,98.94,0,282254.85
,5125151,חשבון פיקטיבי בונד גלובל,1133891,לייטסטון  אגח א,"ש""ח",0,0,0,303479.55
,5125151,חשבון פיקטיבי בונד גלובל,1135664,דה לסר    אגח ה,"ש""ח",657535.16,96.99,0,637743.35
,5125151,חשבון פיקטיבי בונד גלובל,1137975,דה זראסאי אגח ג,"ש""ח",1614400.34,56,0,904064.19
,5125151,חשבון פיקטיבי בונד גלובל,1139575,נמקו      אגח א,"ש""ח",607503.17,98.71,0,599666.38
,5125151,חשבון פיקטיבי בונד גלובל,1139898,ספנסר     אגח ב,"ש""ח",747144.41,93.95,0,701942.17
,5125151,חשבון פיקטיבי בונד גלובל,1140177,קופרליין  אגח ב,"ש""ח",507914.02,96.52,0,490238.61
,5125151,חשבון פיקטיבי בונד גלובל,1140409,קליין     אגח ב,"ש""ח",331138.4,99.45,0,329317.14
,5125151,חשבון פיקטיבי בונד גלובל,1141118,אנקור פרופ אגחא,"ש""ח",221673.89,99.49,0,220543.35
,5125151,חשבון פיקטיבי בונד גלובל,1142603,הרץ פרופר אגח א,"ש""ח",679180.93,74.89,0,508638.6
,5125151,חשבון פיקטיבי בונד גלובל,1145598,סילברסטין אגח א,"ש""ח",847445.37,97.41,0,825496.53
,5125151,חשבון פיקטיבי בונד גלובל,1147495,ספנסר     אגח ג,"ש""ח",819226.47,95.23,0,780149.37
,5125151,חשבון פיקטיבי בונד גלובל,1147495,ספנסר     אגח ג,"ש""ח",0,0,0,33781.09
,5125151,חשבון פיקטיבי בונד גלובל,1147560,דה זראסאי אגח ד,"ש""ח",334662.34,93.63,0,313344.35
,5125151,חשבון פיקטיבי בונד גלובל,1147560,דה זראסאי אגח ד,"ש""ח",0,0,0,4724.71
,5125151,חשבון פיקטיבי בונד גלובל,1157577,ווסטדייל  אגח א,"ש""ח",880028.09,96.27,0,847203.04
,5125151,חשבון פיקטיבי בונד גלובל,1160258,נמקו      אגח ב,"ש""ח",1216317.35,89.04,0,1083008.97
,5125151,חשבון פיקטיבי בונד גלובל,1160597,סילברסטין אגח ב,"ש""ח",1405788,89.83,0,1262819.36
,5125151,חשבון פיקטיבי בונד גלובל,1160746,לייטסטון  אגח ב,"ש""ח",1297664,95.43,0,1238360.76
,5125151,חשבון פיקטיבי בונד גלובל,1160746,לייטסטון  אגח ב,"ש""ח",0,0,0,25656.18
,5125151,חשבון פיקטיבי בונד גלובל,1160811,אמ.ג'יג'י אגח ב,"ש""ח",1136502.03,97.14,0,1103998.07
,5125151,חשבון פיקטיבי בונד גלובל,1161322,ווסטדייל  אגח ב,"ש""ח",1004267,92.56,0,929549.54
,5125151,חשבון פיקטיבי בונד גלובל,1163062,פסיפיק    אגח ב,"ש""ח",1382434,90.39,0,1249582.09
,5125151,חשבון פיקטיבי בונד גלובל,1169556,דה זראסאי אגח ה,"ש""ח",613765.57,83.13,0,510223.32
,5125151,חשבון פיקטיבי בונד גלובל,1169556,דה זראסאי אגח ה,"ש""ח",0,0,0,13634.45
,5125151,חשבון פיקטיבי בונד גלובל,1175041,אקסטל     אגח ג,"ש""ח",1242393,93.09,0,1156543.64
,5125151,חשבון פיקטיבי בונד גלובל,1178920,דה לסר    אגח ז,"ש""ח",808386,95.04,0,768290.05
,5125151,חשבון פיקטיבי בונד גלובל,1179019,סטרוברי   אגח ג,"ש""ח",487680.64,97.47,0,475342.32
,5125151,חשבון פיקטיבי בונד גלובל,1183078,ג'י.אף.אי אגח ד,"ש""ח",497578,96.8,0,481655.5
,5125151,חשבון פיקטיבי בונד גלובל,1184753,הרץ פרופר אגח ב,"ש""ח",428310.26,83.38,0,357125.09
,5125151,חשבון פיקטיבי בונד גלובל,1188788,ספנסר     אגח ד,"ש""ח",538370,96.68,0,520496.12
,5125151,חשבון פיקטיבי בונד גלובל,1190099,לייטסטון אגח ג,"ש""ח",373670,93.79,0,350465.09
,5125151,חשבון פיקטיבי בונד גלובל,1193192,דה לסר    אגח ח,"ש""ח",324057,101.38,0,328528.99
,5125208,חשבון פיקטיבי השק50/50,0,שווי נטו,,0,0,0,13872715.9
,5125208,חשבון פיקטיבי השק50/50,0,יצירות פדיונות,,0,0,0,0
,5125208,חשבון פיקטיבי השק50/50,0,הכנסות/הוצאות,,0,0,0,35186.42
,5125208,חשבון פיקטיבי השק50/50,0,"עו""ש בש""ח",,0,0,0,103357.92
,5125208,חשבון פיקטיבי השק50/50,0,"עו""ש עתידי בש""ח",,0,0,0,163.82
,5125208,חשבון פיקטיבי השק50/50,0,"עו""ש במט""ח",לירות שטרלינג,36,0,0,165.73
,5125208,חשבון פיקטיבי השק50/50,14514,MSFT,"דולרים של ארה""ב",55,332.89,3.7286,68266.75
,5125208,חשבון פיקטיבי השק50/50,14514,MSFT,"דולרים של ארה""ב",28.05,0,3.7286,104.59
,5125208,חשבון פיקטיבי השק50/50,56002,BP,"דולרים של ארה""ב",500,35.55,3.7286,66275.87
,5125208,חשבון פיקטיבי השק50/50,56002,BP,"דולרים של ארה""ב",198.3,0,3.7286,739.38
